timeStamp,elapsed,responseCode,threadName,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686603460629,264,200,Grupo de Usuários 1-163,text,252,1,0,0,0
1686603460962,343,200,Grupo de Usuários 1-168,text,337,1,0,0,0
1686603461289,262,200,Grupo de Usuários 1-172,text,255,1,0,0,0
1686603461351,282,200,Grupo de Usuários 1-175,text,276,1,0,0,0
1686603461380,263,200,Grupo de Usuários 1-171,text,253,1,0,0,0
1686603461386,300,200,Grupo de Usuários 1-170,text,294,1,0,0,0
1686603461469,274,200,Grupo de Usuários 1-173,text,260,1,0,0,0
1686603461471,264,200,Grupo de Usuários 1-167,text,258,1,0,0,0
1686603461730,344,200,Grupo de Usuários 1-174,text,344,1,0,0,0
1686603461836,261,200,Grupo de Usuários 1-178,text,255,1,0,0,0
1686603461846,260,200,Grupo de Usuários 1-176,text,251,1,0,0,0
1686603461875,255,200,Grupo de Usuários 1-179,text,239,1,0,0,0
1686603461883,304,200,Grupo de Usuários 1-183,text,298,1,0,0,0
1686603462169,303,200,Grupo de Usuários 1-180,text,290,1,0,0,0
1686603462456,351,200,Grupo de Usuários 1-181,text,345,1,0,0,0
1686603462714,264,200,Grupo de Usuários 1-184,text,257,1,0,0,0
1686603462711,284,200,Grupo de Usuários 1-177,text,267,1,0,0,0
1686603462646,387,200,Grupo de Usuários 1-189,text,379,1,0,0,0
1686603462856,287,200,Grupo de Usuários 1-186,text,281,1,0,0,0
1686603462826,526,200,Grupo de Usuários 1-182,text,520,1,0,0,0
1686603463745,314,200,Grupo de Usuários 1-188,text,308,1,0,0,0
1686603463696,415,200,Grupo de Usuários 1-185,text,399,1,0,0,0
1686603463917,298,200,Grupo de Usuários 1-190,text,291,1,0,0,0
1686603463984,298,200,Grupo de Usuários 1-187,text,291,1,0,0,0
1686603464065,289,200,Grupo de Usuários 1-191,text,289,1,0,0,0
1686603464137,277,200,Grupo de Usuários 1-195,text,270,1,0,0,0
1686603464139,285,200,Grupo de Usuários 1-199,text,275,1,0,0,0
1686603464216,280,200,Grupo de Usuários 1-192,text,268,1,0,0,0
1686603464286,312,200,Grupo de Usuários 1-193,text,305,1,0,0,0
1686603464342,339,200,Grupo de Usuários 1-194,text,333,1,0,0,0
1686603464384,367,200,Grupo de Usuários 1-198,text,361,1,0,0,0
1686603464469,282,200,Grupo de Usuários 1-197,text,268,1,0,0,0
1686603464951,310,200,Grupo de Usuários 1-201,text,301,1,0,0,0
1686603464916,335,200,Grupo de Usuários 1-200,text,329,1,0,0,0
1686603465023,313,200,Grupo de Usuários 1-203,text,310,1,0,0,0
1686603465089,265,200,Grupo de Usuários 1-196,text,259,1,0,0,0
1686603464999,362,200,Grupo de Usuários 1-205,text,349,1,0,0,0
1686603465142,301,200,Grupo de Usuários 1-202,text,294,1,0,0,0
1686603465185,274,200,Grupo de Usuários 1-207,text,267,1,0,0,0
1686603465208,295,200,Grupo de Usuários 1-210,text,282,1,0,0,0
1686603465425,262,200,Grupo de Usuários 1-206,text,245,1,0,0,0
