timeStamp,elapsed,label,responseCode,dataType,Latency,SampleCount,ErrorCount,IdleTime,Connect
1686604082412,1337,Blazedemo,200,text,1337,1,0,0,651
1686604082489,1260,Blazedemo,200,text,1260,1,0,0,449
1686604082393,1356,Blazedemo,200,text,1356,1,0,0,695
1686604082614,1135,Blazedemo,200,text,1135,1,0,0,432
1686604082617,1132,Blazedemo,200,text,1132,1,0,0,437
1686604082394,1355,Blazedemo,200,text,1355,1,0,0,679
1686604082617,1133,Blazedemo,200,text,1133,1,0,0,429
1686604082481,1269,Blazedemo,200,text,1269,1,0,0,608
1686604082619,1142,Blazedemo,200,text,1131,1,0,0,434
1686604082612,1149,Blazedemo,200,text,1140,1,0,0,433
1686604082483,1279,Blazedemo,200,text,1269,1,0,0,621
1686604082611,1151,Blazedemo,200,text,1147,1,0,0,436
1686604082630,1136,Blazedemo,200,text,1131,1,0,0,423
1686604082425,1345,Blazedemo,200,text,1336,1,0,0,641
1686604082395,1396,Blazedemo,200,text,1376,1,0,0,671
1686604082614,1180,Blazedemo,200,text,1180,1,0,0,431
1686604082393,1401,Blazedemo,200,text,1401,1,0,0,680
1686604082639,1176,Blazedemo,200,text,1176,1,0,0,414
1686604082394,1421,Blazedemo,200,text,1421,1,0,0,681
1686604082760,1060,Blazedemo,200,text,1060,1,0,0,550
1686604082395,1427,Blazedemo,200,text,1427,1,0,0,670
1686604082882,945,Blazedemo,200,text,945,1,0,0,399
1686604082957,870,Blazedemo,200,text,870,1,0,0,409
1686604082396,1432,Blazedemo,200,text,1432,1,0,0,670
1686604082404,1424,Blazedemo,200,text,1424,1,0,0,660
1686604082473,1356,Blazedemo,200,text,1356,1,0,0,773
1686604082766,1063,Blazedemo,200,text,1063,1,0,0,454
1686604082959,870,Blazedemo,200,text,870,1,0,0,406
1686604082959,870,Blazedemo,200,text,870,1,0,0,405
1686604082613,1220,Blazedemo,200,text,1216,1,0,0,432
1686604082419,1428,Blazedemo,200,text,1415,1,0,0,643
1686604082401,1452,Blazedemo,200,text,1439,1,0,0,663
1686604082766,1087,Blazedemo,200,text,1074,1,0,0,454
1686604082953,900,Blazedemo,200,text,887,1,0,0,354
1686604082394,1459,Blazedemo,200,text,1453,1,0,0,672
1686604082953,915,Blazedemo,200,text,900,1,0,0,410
1686604082760,1144,Blazedemo,200,text,1109,1,0,0,550
1686604082960,945,Blazedemo,200,text,944,1,0,0,403
1686604082956,949,Blazedemo,200,text,914,1,0,0,353
1686604082963,942,Blazedemo,200,text,941,1,0,0,400
1686604082881,1025,Blazedemo,200,text,1024,1,0,0,400
1686604082960,947,Blazedemo,200,text,945,1,0,0,403
1686604082402,1505,Blazedemo,200,text,1504,1,0,0,661
1686604082395,1512,Blazedemo,200,text,1511,1,0,0,871
1686604082959,948,Blazedemo,200,text,947,1,0,0,406
1686604082957,951,Blazedemo,200,text,949,1,0,0,407
1686604082610,1298,Blazedemo,200,text,1296,1,0,0,436
1686604082766,1146,Blazedemo,200,text,1141,1,0,0,454
1686604082972,940,Blazedemo,200,text,935,1,0,0,418
1686604082960,1004,Blazedemo,200,text,992,1,0,0,403
1686604082969,990,Blazedemo,200,text,982,1,0,0,403
1686604082883,1076,Blazedemo,200,text,1063,1,0,0,399
1686604082769,1183,Blazedemo,200,text,1170,1,0,0,451
1686604083113,839,Blazedemo,200,text,833,1,0,0,446
1686604082393,1546,Blazedemo,200,text,1543,1,0,0,673
1686604082956,982,Blazedemo,200,text,975,1,0,0,409
1686604082764,1172,Blazedemo,200,text,1155,1,0,0,456
1686604082958,978,Blazedemo,200,text,961,1,0,0,405
1686604082957,975,Blazedemo,200,text,955,1,0,0,405
1686604082960,972,Blazedemo,200,text,952,1,0,0,403
1686604082630,1301,Blazedemo,200,text,1289,1,0,0,424
1686604082615,1316,Blazedemo,200,text,1297,1,0,0,430
1686604082957,1020,Blazedemo,200,text,1007,1,0,0,409
1686604082883,1094,Blazedemo,200,text,1081,1,0,0,399
1686604082399,1578,Blazedemo,200,text,1565,1,0,0,666
1686604082395,1588,Blazedemo,200,text,1576,1,0,0,679
1686604082393,1591,Blazedemo,200,text,1578,1,0,0,681
1686604082898,1086,Blazedemo,200,text,1073,1,0,0,383
1686604082957,1027,Blazedemo,200,text,1014,1,0,0,409
1686604082633,1351,Blazedemo,200,text,1338,1,0,0,421
1686604082884,1108,Blazedemo,200,text,1093,1,0,0,401
1686604083038,954,Blazedemo,200,text,939,1,0,0,392
1686604082957,1035,Blazedemo,200,text,1027,1,0,0,405
1686604082766,1239,Blazedemo,200,text,1218,1,0,0,454
1686604082953,1052,Blazedemo,200,text,1031,1,0,0,414
1686604083116,890,Blazedemo,200,text,876,1,0,0,436
1686604082770,1237,Blazedemo,200,text,1222,1,0,0,457
1686604082393,1614,Blazedemo,200,text,1599,1,0,0,681
1686604082955,1052,Blazedemo,200,text,1037,1,0,0,352
1686604083016,995,Blazedemo,200,text,990,1,0,0,395
1686604082963,1048,Blazedemo,200,text,1042,1,0,0,399
1686604082956,1055,Blazedemo,200,text,1050,1,0,0,411
1686604083031,980,Blazedemo,200,text,975,1,0,0,390
1686604082958,1054,Blazedemo,200,text,1049,1,0,0,404
1686604082774,1243,Blazedemo,200,text,1233,1,0,0,453
1686604083031,993,Blazedemo,200,text,980,1,0,0,399
1686604083019,1005,Blazedemo,200,text,993,1,0,0,411
1686604082953,1071,Blazedemo,200,text,1058,1,0,0,354
